STUDY_ID	SAMPLE_ID	KRAS	BRCA1	POLE
brca_tcga_pub	TCGA-A2-A0T2-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A04P-01	0.4014	-0.0961	-0.0852
brca_tcga_pub	TCGA-A1-A0SK-01	2.8534	-0.0961	16.5415
brca_tcga_pub	TCGA-A2-A0CM-01	0.2544	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A1AR-01	0.4358	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0WX-01	0.183	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A1F0-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0I6-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A18V-01	2.0802	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A18Q-01	-0.4754	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A18K-01	1.3177	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0HL-01	-0.6671	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0E0-01	-0.1782	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0RX-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A7-A13D-01	0.0235	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0E6-01	-0.1056	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A0J4-01	-0.7645	-0.0961	-0.0852
brca_tcga_pub	TCGA-A7-A0CE-01	1.2393	-0.0961	-0.0852
brca_tcga_pub	TCGA-A7-A13E-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A7-A0DA-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-D8-A142-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-D8-A143-01	1.7809	-0.0961	-0.0852
brca_tcga_pub	TCGA-AQ-A04J-01	0.4626	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0HN-01	-0.8369	-0.0961	0.9363
brca_tcga_pub	TCGA-A2-A0T0-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0YE-01	0.0606	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0YJ-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0D0-01	-0.8369	-0.0961	5.2582
brca_tcga_pub	TCGA-A2-A04U-01	0.088	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A0J6-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0YM-01	1.6667	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0D2-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0B3-01	-0.7456	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A04Q-01	0.2058	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0SX-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A0JL-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A12F-01	2.0964	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0B9-01	1.3145	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A04T-01	0.3082	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RT-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A128-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A129-01	0.3658	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A124-01	-0.3506	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RU-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0IQ-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0I2-01	0.6317	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0IJ-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0X1-01	2.2643	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RE-01	0.6881	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0ST-01	0.2628	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A0TP-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A1-A0SO-01	0.6069	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A07C-01	-0.0761	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A07O-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A07R-01	0.9654	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A07U-01	1.9192	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08H-01	1.291	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08R-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A04D-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0AL-01	2.0306	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0AR-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0AT-01	0.5439	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0FJ-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0FL-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0FX-01	0.4673	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0G0-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0XU-01	-0.0555	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A0TS-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A0TU-01	-0.0381	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A0U0-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A0U1-01	1.11	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A0U4-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A1AH-01	2.8838	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A1AI-01	0.2891	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A1AJ-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A1AQ-01	0.4412	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A1AY-01	-0.4793	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0AV-01	0.428	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0BG-01	1.5223	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0BL-01	1.3912	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0BW-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0DL-01	0.6843	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0WA-01	3.5137	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A18G-01	-0.2297	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A12K-01	0.125	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A12V-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A131-01	2.356	-0.0961	-0.0852
brca_tcga_pub	TCGA-C8-A134-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-D8-A147-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A14N-01	0.1637	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A14R-01	1.8021	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A14X-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A14Y-01	-0.4288	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A150-01	-0.4779	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A158-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A159-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A1AZ-01	2.0362	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A1B5-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08L-01	0.2001	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A1EV-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0I9-01	1.064	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A09X-01	1.7324	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0IK-01	-0.027	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A18P-01	1.1079	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08J-01	1.4359	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A18R-01	0.7142	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A1AT-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RS-01	0.0586	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0DZ-01	0.6793	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0T1-01	1.8386	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A0J2-01	-0.0997	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0AW-01	-0.0782	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0EE-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0D1-01	0.0074	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A03N-01	1.7065	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0CY-01	1.0258	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A04X-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0CX-01	0.1603	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A04W-01	-0.3859	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A12D-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0CL-01	0.5541	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A0JE-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0EQ-01	0.0868	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A03L-01	0.3462	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RH-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A075-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A076-01	1.6207	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A07B-01	0.3658	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A07I-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A081-01	0.4677	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08B-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08X-01	-0.0812	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A092-01	0.1399	6.1131	-0.0852
brca_tcga_pub	TCGA-A8-A094-01	-0.8369	-0.0961	-0.0852
